client_id	data_Source_MYINFO	data_Source_O2O	platform_code_WEB	platform_code_NON_WEB	platform_code_RM_WEB	platform_code_RM_NON_WEB	User Currency_HKD	User Currency_INR	User Currency_SGD	User Currency_USD	kristal_Views at Time of Day(0-6)	kristal_Views at Time of Day(6-12)	kristal_Views at Time of Day(12-18)	kristal_Views at Time of Day(18-24)	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	AdvisoryRun-(1-10 Times)	AdvisoryRun-(>=11 Times)	kyc_status
13949000	0	1	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
18087000	0	1	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
15449000	0	1	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
13861000	0	1	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
17517000	0	1	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
19129000	0	1	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
12347000	0	1	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
13029000	1	0	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
15172000	0	1	1	0	0	0	0	0	0	1	-0.139356397864917	0.14017113812058984	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	0.31565192187166585	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
16387000	0	1	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
11068000	0	1	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
16289000	0	1	1	0	0	0	0	0	1	0	-0.139356397864917	-0.18544664439771352	-0.035757731329349035	-0.0813635196461024	-0.029832497143765693	-0.08899010706832344	-0.10799692700268525	-0.10065584563446912	-0.09260269824209634	-0.12407197012786705	-0.1256745436960748	0.0	0.0	-1
